Month,NDVI,EVI,LST,LST_Night,Rainfall,Soil_Moisture,SPI,PET,SPEI,NDVI_min,NDVI_max,VCI,LST_min,LST_max,TCI,SM_min,SM_max,SMCI,VHI,SIWSI
01-12-2008,4603.584534,2472.015572,31.91966925,14.53932385,0.076613025,0.220211215,-0.646869978,177.0376921,0.062484899,1899.864131,6920.280291,53.85450761,27.33068144,49.10846569,78.92812345,0.202631793,0.451964417,7.050590465,66.39131553,0.454281775
01-01-2009,3971.21253,2183.069853,33.00183374,17.01935489,0.228520291,0.204466468,-0.665830985,177.1387909,0.063290593,1899.864131,6920.280291,41.25849995,27.33068144,49.10846569,73.95900228,0.202631793,0.451964417,0.73583422,57.60875112,0.391362027
01-02-2009,3061.684273,1710.820554,38.43167495,19.53052996,0.181295372,0.203060584,-1.170643196,210.5013371,-0.600315264,1899.864131,6920.280291,23.14190905,27.33068144,49.10846569,49.02606534,0.202631793,0.451964417,0.171975457,36.0839872,0.304053665
01-03-2009,2667.155813,1439.201499,44.56532106,22.30302224,0.396513031,0.207230277,-0.517102815,237.1455975,-1.44403219,1899.864131,6920.280291,15.28342785,27.33068144,49.10846569,20.86137218,0.202631793,0.451964417,1.844317078,18.07240002,0.268815714
01-04-2009,2424.129937,1354.012107,49.25640906,24.85999778,0.164502591,0.203441856,-1.004556045,253.920011,-2.460288857,1899.864131,6920.280291,10.44267625,27.33068144,49.25640906,0,0.202631793,0.451964417,0.324892367,5.221338123,0.245054476
01-05-2009,2317.135021,1254.754143,46.7529551,26.96600777,0.468306986,0.208402348,0.308123294,251.6490271,-2.240178687,1899.864131,6920.280291,8.311480097,27.33068144,49.25640906,11.41788316,0.202631793,0.451964417,2.314400375,9.864681629,0.235204433
01-06-2009,2189.327314,1236.434854,44.99709561,27.77490339,3.733252733,0.24805105,-1.070732737,232.7403347,-1.148676702,1899.864131,6920.280291,5.765720868,27.33068144,49.25640906,19.42609854,0.202631793,0.451964417,18.21633127,12.5959097,0.21026724
01-07-2009,4525.843618,3002.665446,32.09921225,22.13935128,11.00739472,0.44913799,-0.141933719,146.7235382,0.586751701,1899.864131,6920.280291,52.30601215,27.33068144,49.25640906,78.25143644,0.202631793,0.451964417,98.86640318,65.27872429,0.419492602
01-08-2009,6319.425084,4348.299163,31.66336965,21.47413447,8.359465938,0.414640474,-0.430049795,146.5846036,0.56085261,1899.864131,6920.280291,88.03176495,27.33068144,49.25640906,80.23925004,0.202631793,0.451964417,85.03046151,84.13550749,0.607990202
01-09-2009,6940.740796,4463.092804,31.91820926,23.31243871,4.067290379,0.37633213,-1.763502237,137.8915482,0.605876443,1899.864131,6940.740796,100,27.33068144,49.25640906,79.0769643,0.202631793,0.451964417,69.66610856,89.53848215,0.702440966
